epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,578.408,0.7658,0.42841,0.88586,0.99278,1,0.99372,0.76483,0.79876,0.36608,0.93428,0.00113339,0.00113339,0.00113339
99,584.404,0.75093,0.41362,0.88175,0.9971,0.99957,0.99387,0.76176,0.80072,0.36274,0.937,0.00112789,0.00112789,0.00112789
100,590.083,0.76062,0.42621,0.89116,0.99774,0.99896,0.99395,0.76276,0.8299,0.36318,0.94889,0.00112239,0.00112239,0.00112239
101,595.868,0.74189,0.41695,0.89418,0.99597,0.99919,0.99423,0.76534,0.81463,0.3598,0.93982,0.00111689,0.00111689,0.00111689
102,601.485,0.73421,0.4133,0.88202,0.99478,0.99675,0.99455,0.76573,0.8042,0.35782,0.9369,0.00111139,0.00111139,0.00111139
103,607.289,0.75134,0.41406,0.88634,0.97633,0.9949,0.99435,0.76029,0.8184,0.35726,0.94175,0.00110589,0.00110589,0.00110589
104,613.097,0.72398,0.402,0.88091,0.9955,0.99281,0.99435,0.77608,0.79789,0.35045,0.93353,0.00110039,0.00110039,0.00110039
105,618.849,0.74807,0.40411,0.87227,0.99421,0.99785,0.99426,0.7671,0.81392,0.36645,0.94478,0.00109489,0.00109489,0.00109489
106,624.62,0.74085,0.40457,0.88097,0.99694,0.99991,0.99471,0.76908,0.80319,0.36196,0.9415,0.00108938,0.00108938,0.00108938
107,630.479,0.76221,0.414,0.87594,0.99647,0.99783,0.99488,0.76313,0.79454,0.35206,0.93581,0.00108388,0.00108388,0.00108388
108,636.243,0.72146,0.40315,0.882,0.99488,0.99767,0.99479,0.76071,0.81565,0.36168,0.94831,0.00107838,0.00107838,0.00107838
109,642.13,0.76279,0.41369,0.89285,0.99661,1,0.99462,0.76296,0.81603,0.36818,0.94606,0.00107288,0.00107288,0.00107288
110,647.734,0.79508,0.41746,0.89507,0.99654,0.99774,0.99443,0.75358,0.83939,0.36844,0.95453,0.00106738,0.00106738,0.00106738
111,653.828,0.73224,0.39905,0.88393,0.98215,0.98718,0.99321,0.76126,0.82081,0.36901,0.94607,0.00106188,0.00106188,0.00106188
112,659.573,0.7835,0.42158,0.89614,0.97664,0.99818,0.99386,0.76149,0.84544,0.37141,0.95577,0.00105638,0.00105638,0.00105638
113,665.353,0.73323,0.39625,0.88329,0.9733,0.99883,0.99434,0.77357,0.80706,0.35457,0.93634,0.00105088,0.00105088,0.00105088
114,671.057,0.72016,0.38593,0.88312,0.97286,0.99883,0.99312,0.76006,0.81696,0.35734,0.94233,0.00104538,0.00104538,0.00104538
115,677.009,0.7424,0.4042,0.87952,0.97035,0.99754,0.99378,0.76403,0.82229,0.36129,0.94636,0.00103987,0.00103987,0.00103987
116,682.797,0.76982,0.40165,0.88467,0.98482,1,0.995,0.75815,0.82541,0.36806,0.94482,0.00103437,0.00103437,0.00103437
117,688.648,0.74767,0.40005,0.87899,0.97986,0.99939,0.99413,0.76599,0.80093,0.36455,0.93608,0.00102887,0.00102887,0.00102887
118,694.225,0.73788,0.40295,0.87849,0.97183,1,0.99432,0.76854,0.80763,0.36208,0.93506,0.00102337,0.00102337,0.00102337
119,699.936,0.71771,0.38723,0.89195,0.99235,0.99745,0.99407,0.75342,0.83292,0.35709,0.94846,0.00101787,0.00101787,0.00101787
120,705.703,0.71178,0.38219,0.88103,0.99532,0.99613,0.99412,0.75977,0.81205,0.35274,0.94029,0.00101237,0.00101237,0.00101237
121,711.754,0.68196,0.37494,0.86163,0.98284,0.98718,0.99353,0.76785,0.82326,0.36952,0.94568,0.00100687,0.00100687,0.00100687
122,717.322,0.69606,0.37716,0.87882,0.98348,0.98718,0.99395,0.76196,0.83266,0.36403,0.95181,0.00100137,0.00100137,0.00100137
123,723.087,0.75919,0.40214,0.88828,0.99652,0.98718,0.99472,0.76098,0.83108,0.35479,0.95218,0.000995866,0.000995866,0.000995866
124,728.894,0.72753,0.39096,0.88318,0.99635,1,0.99497,0.77519,0.80553,0.34864,0.9402,0.000990365,0.000990365,0.000990365
125,734.596,0.6981,0.37621,0.87746,0.99564,1,0.9949,0.77446,0.8135,0.34784,0.94268,0.000984864,0.000984864,0.000984864
126,740.49,0.76298,0.40076,0.88201,0.99605,1,0.99478,0.7753,0.81174,0.34639,0.93996,0.000979362,0.000979362,0.000979362
127,746.221,0.7571,0.39904,0.87619,0.98671,0.99535,0.99479,0.76662,0.8174,0.34934,0.94472,0.000973861,0.000973861,0.000973861
128,752.191,0.74398,0.39599,0.87553,0.98526,0.99883,0.99428,0.75609,0.8444,0.35999,0.95695,0.00096836,0.00096836,0.00096836
129,757.884,0.73595,0.39557,0.87196,0.98444,0.99883,0.99475,0.74351,0.82846,0.35624,0.94761,0.000962859,0.000962859,0.000962859
130,763.808,0.73543,0.3933,0.88184,0.99471,0.99883,0.995,0.74358,0.81416,0.35394,0.94039,0.000957358,0.000957358,0.000957358
131,769.389,0.75948,0.40597,0.88424,0.99768,0.99922,0.99497,0.75554,0.81128,0.3533,0.94047,0.000951857,0.000951857,0.000951857
132,775.075,0.73689,0.38808,0.88334,0.98429,1,0.99374,0.75579,0.85477,0.34859,0.9612,0.000946356,0.000946356,0.000946356
133,780.663,0.81145,0.40325,0.90601,0.98501,1,0.99438,0.75743,0.84196,0.34815,0.9517,0.000940855,0.000940855,0.000940855
134,786.366,0.70782,0.37771,0.88448,0.9846,1,0.99475,0.76147,0.8058,0.345,0.93243,0.000935354,0.000935354,0.000935354
135,792.07,0.74705,0.40063,0.87801,0.99627,0.99954,0.99493,0.77116,0.80866,0.3424,0.93511,0.000929853,0.000929853,0.000929853
136,797.661,0.7196,0.38186,0.87091,0.99527,1,0.99477,0.7705,0.81734,0.34636,0.93885,0.000924352,0.000924352,0.000924352
137,803.425,0.70533,0.37914,0.85781,0.99593,1,0.99429,0.77249,0.81105,0.34515,0.93427,0.00091885,0.00091885,0.00091885
138,809.118,0.73606,0.38063,0.87501,0.99762,1,0.9943,0.76358,0.81284,0.34481,0.93581,0.000913349,0.000913349,0.000913349
139,815.019,0.72155,0.38625,0.87619,0.99704,1,0.99431,0.76693,0.81538,0.34677,0.93863,0.000907848,0.000907848,0.000907848
140,820.787,0.71831,0.37347,0.8643,0.99505,0.99746,0.99444,0.76597,0.81146,0.33793,0.93516,0.000902347,0.000902347,0.000902347
141,826.715,0.70736,0.37151,0.86936,0.99301,0.99712,0.99464,0.77692,0.80938,0.33972,0.93728,0.000896846,0.000896846,0.000896846
142,832.443,0.69336,0.3687,0.86216,0.99264,0.99884,0.9947,0.77426,0.80928,0.34099,0.9385,0.000891345,0.000891345,0.000891345
143,838.456,0.71449,0.37737,0.86941,0.99693,1,0.99466,0.76831,0.80957,0.33872,0.93488,0.000885844,0.000885844,0.000885844
144,844.092,0.67417,0.36269,0.86679,0.99689,0.99931,0.99458,0.77084,0.79311,0.3305,0.92972,0.000880343,0.000880343,0.000880343
145,849.79,0.70466,0.36824,0.88269,0.99521,1,0.99445,0.77121,0.80703,0.33724,0.93644,0.000874842,0.000874842,0.000874842
146,855.749,0.6796,0.36314,0.85713,0.99496,1,0.99445,0.76929,0.81468,0.34092,0.94174,0.00086934,0.00086934,0.00086934
147,861.32,0.70981,0.37549,0.87546,0.99521,1,0.99449,0.76837,0.80825,0.34169,0.93818,0.000863839,0.000863839,0.000863839
148,867.054,0.69933,0.36777,0.86748,0.99578,0.99878,0.99456,0.76459,0.80616,0.33824,0.93803,0.000858338,0.000858338,0.000858338
